Name;NetWorth;Country;Source;Rank;Age;Residence;Citizenship;Status;Children;Education;Self_made;
Carlos Slim Helu & family;62.8;Mexico;telecom;16;81.0;Mexico City, Mexico;Mexico;Widowed;6.0;Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico;True;
Alice Walton;61.8;United States;Walmart;17;71.0;Fort Worth, Texas;United States;Divorced;;Bachelor of Arts/Science, Trinity University;False;
Jim Walton;60.2;United States;Walmart;18;72.0;Bentonville, Arkansas;United States;Married;4.0;Bachelor of Arts/Science, University of Arkansas;False;
Rob Walton;59.5;United States;Walmart;19;76.0;Bentonville, Arkansas;United States;Married;3.0;Doctor of Jurisprudence, Columbia University;;
Michael Bloomberg;59.0;United States;Bloomberg LP;20;79.0;New York, New York;United States;In Relationship;2.0;Master of Business Administration, Harvard Business School;;
Colin Zheng Huang;55.3;China;e-commerce;21;41.0;Shanghai, China;China;;;Master, University of Wisconsin Madison;;
MacKenzie Scott;53.0;United States;Amazon;22;51.0;Seattle, Washington;United States;Married;4.0;Bachelor of Arts/Science, Princeton University;False;
Daniel Gilbert;51.9;United States;Quicken Loans;23;59.0;Franklin, Michigan;United States;Married;5.0;Bachelor of Arts/Science, Michigan State University;;
Gautam Adani & family;50.5;India;infrastructure, commodities;24;58.0;Ahmedabad, India;India;Married;2.0;;True;
Phil Knight & family;49.9;United States;Nike;25;83.0;Hillsboro, Oregon;United States;Married;3.0;Master of Business Administration, Stanford Graduate School of Business;;
Jack Ma;48.4;China;e-commerce;26;56.0;Hangzhou, China;China;Married;;Bachelor of Arts/Science, Hangzhou Teacher's Institute;True;
Charles Koch;46.4;United States;Koch Industries;27;85.0;Wichita, Kansas;United States;Married;2.0;Bachelor of Arts/Science, Massachusetts Institute of Technology;;
Julia Koch & family;46.4;United States;Koch Industries;27;59.0;New York, New York;United States;Widowed;3.0;;False;
Masayoshi Son;45.4;Japan;internet, telecom;29;63.0;Tokyo, Japan;Japan;Married;2.0;Bachelor of Arts/Science, University of California, Berkeley;True;
Michael Dell;45.1;United States;Dell computers;30;56.0;Austin, Texas;United States;Married;4.0;Drop Out, The University of Texas at Austin;True;
Tadashi Yanai & family;44.1;Japan;fashion retail;31;72.0;Tokyo, Japan;Japan;Married;2.0;Bachelor of Arts/Science, Waseda University;True;
FranÃ§ois Pinault & family;42.3;France;luxury goods;32;84.0;Paris, France;France;Married;3.0;Drop Out, High School;True;
David Thomson & family;41.8;Canada;media;33;63.0;Toronto, Canada;Canada;Divorced;4.0;Master of Arts, University of Cambridge;False;
Beate Heister & Karl Albrecht Jr.;39.2;Germany;supermarkets;34;;Germany;Germany;;;;False;
Wang Wei;39.0;China;package delivery;35;50.0;Shenzhen, China;China;;;;True;
Miriam Adelson;38.2;United States;casinos;36;75.0;Las Vegas, Nevada;United States;Widowed;5.0;Bachelor of Science, Hebrew University Jerusalem;False;
He Xiangjian;37.7;China;home appliances;37;78.0;Foshan, China;China;Married;3.0;;True;
Dieter Schwarz;36.9;Germany;retail;38;81.0;Neckarsulm, Germany;Germany;Married;2.0;;False;
Zhang Yiming;35.6;China;TikTok;39;37.0;Beijing, China;China;;;Bachelor of Engineering, Nankai University;True;
Giovanni Ferrero;35.1;Italy;Nutella, chocolates;40;56.0;Brussels, Belgium;Italy;Married;2.0;;False;
Alain Wertheimer;34.5;France;Chanel;41;72.0;New York, New York;France;Married;3.0;;False;
Gerard Wertheimer;34.5;France;Chanel;41;70.0;New York, New York;France;Married;2.0;;False;
Li Ka-shing;33.7;Hong Kong;diversified;43;92.0;Hong Kong;Hong Kong;Widowed;2.0;Drop Out, High School;True;
Qin Yinglin & family;33.5;China;pig breeding;44;56.0;Nanyang, China;China;Married;;;True;
William Lei Ding;33.0;China;online games;45;49.0;Hangzhou, China;China;;;Bachelor of Arts/Science, University of Electronic Science and Technology of China;True;
Len Blavatnik;32.0;United States;music, chemicals;46;63.0;London, United Kingdom;United States;Married;;Master of Science, Columbia University;;
Lee Shau Kee;31.èþë;Hong Kong;real estate;47;93.0;Hong Kong, Hong Kong;Hong Kong;Divorced;5.0;;True;
Jacqueline Mars;31.ìàð;United States;candy, pet food;48;81.0;The Plains, Virginia;United States;Divorced;3.0;Bachelor of Arts/Science, Bryn Mawr College;False;
John Mars;31.ìàð;United States;candy, pet food;48;85.0;Jackson, Wyoming;United States;Married;3.0;Diploma, The Hotchkiss School;;
Yang Huiyan & family;29.èþí;China;real estate;50;39.0;Foshan, China;China;Married;;Bachelor of Arts/Science, Ohio State University;False;
Alexey Mordashov & family;29.ÿíâ;Russia;steel, investments;51;55.0;Moscow, Russia;Russia;Married;7.0;Bachelor of Arts/Science, Leningrad Institute of Economics;;
Robin Zeng;28.àïð;Hong Kong;batteries;52;52.0;Ningde, China;Hong Kong;;;Doctorate, Chinese Academy of Social Sciences;True;
Hui Ka Yan;27.èþë;China;real estate;53;62.0;Shenzhen, China;China;Married;2.0;Bachelor of Arts/Science, Wuhan U of  Science & Tec;True;
Susanne Klatten;27.èþë;Germany;BMW, pharmaceuticals;53;59.0;Bad Homburg, Germany;Germany;Married;3.0;Master of Business Administration, International Institute for Management and Development;False;
Vladimir Potanin;27.0;Russia;metals;55;60.0;Moscow, Russia;Russia;Married;7.0;Bachelor of Arts/Science, Moscow Institute of International Relations;True;
Dietrich Mateschitz;26.ñåí;Austria;Red Bull;56;76.0;Fuschl am See, Austria;Austria;Single;1.0;Master of Business Administration, University of Vienna;True;
Pang Kang;26.àïð;China;soy sauce;57;65.0;Foshan, China;China;;;;True;
Klaus-Michael Kuehne;26.ìàð;Germany;shipping;58;83.0;Schindellegi, Switzerland;Germany;Married;;;False;
Vladimir Lisin;26.ôåâ;Russia;steel, transport;59;65.0;Moscow, Russia;Russia;Married;3.0;Doctorate, Russian Academy of Economics;;
Wang Xing;26.ÿíâ;China;e-commerce;60;42.0;Beijing, China;China;;;Graduate, Tsinghua University;True;
German Larrea Mota Velasco & family;25.ñåí;Mexico;mining;61;67.0;Mexico City, Mexico;Mexico;Married;;;False;
Leonardo Del Vecchio & family;25.àâã;Italy;eyeglasses;62;85.0;Milan, Italy;Italy;Married;6.0;;True;
Takemitsu Takizaki;25.àâã;Japan;sensors;62;75.0;Osaka, Japan;Japan;Married;;;True;
Leonard Lauder;25.ìàé;United States;Estee Lauder;64;88.0;New York, New York;United States;Widowed, Remarried;2.0;Bachelor of Arts/Science, University of Pennsylvania;False;
Thomas Peterffy;25.0;United States;discount brokerage;65;76.0;Palm Beach, Florida;United States;Divorced;3.0;Drop Out, New York University;True;
Vagit Alekperov;24.ñåí;Russia;oil;66;70.0;Moscow, Russia;Russia;Married;1.0;Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry;True;
Leonid Mikhelson;24.ñåí;Russia;gas, chemicals;66;65.0;Moscow, Russia;Russia;Married;2.0;Bachelor of Arts/Science, Kuybyshev Engineering and Construction Institute;True;
Jim Simons;24.èþí;United States;hedge funds;68;83.0;East Setauket, New York;United States;Married;3.0;Bachelor of Arts/Science, Massachusetts Institute of Technology;;
Jiang Rensheng & family;24.àïð;China;vaccines;69;67.0;Chongqing, China;China;Married;1.0;Associate in Arts/Science, Guilin Medical University;True;
Gina Rinehart;23.èþí;Australia;mining;70;67.0;Perth, Australia;Australia;Widowed;4.0;;False;
Rupert Murdoch & family;23.ìàé;United States;newspapers, TV network;71;90.0;New York, New York;United States;Married;6.0;Bachelor of Arts/Science, Oxford University;;
Shiv Nadar;23.ìàé;India;software services;71;75.0;Delhi, India;India;Married;1.0;Bachelor of Arts/Science, PSG College of Technology;True;
Zhang Zhidong;23.àïð;China;internet media;73;49.0;Shenzhen, China;China;;;Bachelor of Arts/Science, Shenzhen University;;
Iris Fontbona & family;23.ìàð;Chile;mining;74;78.0;Santiago, Chile;Chile;Widowed;3.0;;False;
Lei Jun;23.0;China;smartphones;75;51.0;Beijing, China;China;Married;2.0;Bachelor of Science in Engineering, Wuhan University;True;
Zhang Yong;23.0;Singapore;restaurants;75;50.0;Singapore, Singapore;Singapore;Married;;;True;
Richard Qiangdong Liu;22.àïð;China;e-commerce;77;47.0;Beijing, China;China;Married;;Bachelor of Arts/Science, Renmin University of China;True;
Gennady Timchenko;22.0;Russia;oil, gas;78;68.0;Moscow, Russia;Russia;Married;3.0;Bachelor of Arts/Science, Leningrad Mechanical Institute;True;
Stephen Schwarzman;21.ñåí;United States;investments;79;74.0;New York, New York;United States;Married;3.0;Master of Business Administration, Harvard Business School;;
Goh Cheng Liang;21.èþë;Singapore;paints;80;93.0;Singapore, Singapore;Singapore;Widowed;3.0;;True;
Stefan Quandt;21.èþí;Germany;BMW;81;54.0;Frankfurt, Germany;Germany;Married;1.0;Associate in Arts/Science, Technical University of Karlsruhe;False;
Li Xiting;21.ìàé;Singapore;medical devices;82;70.0;Shenzhen, China;Singapore;;;Bachelor of Science, University of Science and Technology of China;True;
Pierre Omidyar;21.àïð;United States;eBay, PayPal;83;53.0;Honolulu, Hawaii;United States;Married;3.0;Bachelor of Arts/Science, Tufts University;True;
Stefan Persson;21.ìàð;Sweden;H&M;84;73.0;Stockholm, Sweden;Sweden;Married;3.0;Associate in Arts/Science, University of Stockholm;False;
Abigail Johnson;20.ñåí;United States;money management;85;59.0;Milton, Massachusetts;United States;Married;2.0;Master of Business Administration, Harvard Business School;;
R. Budi Hartono;20.ìàé;Indonesia;banking, tobacco;86;80.0;Kudus, Indonesia;Indonesia;Married;3.0;;False;
Andrew Forrest;20.àïð;Australia;mining;87;59.0;Perth, Australia;Australia;Married;3.0;Bachelor of Arts/Science, University of Western Australia;True;
Ray Dalio;20.ìàð;United States;hedge funds;88;71.0;Greenwich, Connecticut;United States;Married;4.0;Master of Business Administration, Harvard Business School;;
Michael Hartono;19.èþë;Indonesia;banking, tobacco;89;81.0;Kudus, Indonesia;Indonesia;Married;4.0;;False;
Li Shufu;19.èþë;China;automobiles;89;57.0;Hangzhou, China;China;Married;;Master of Science, Yanshan University;True;
Zhong Huijuan;19.èþë;China;pharmaceuticals;89;60.0;Shanghai, China;China;Married;;EMBA, Nanjing University;True;
Xu Hang;19.ìàé;Hong Kong;medical devices;92;54.0;Shenzhen, China;Hong Kong;;;EMBA, Ceibs;;
Lui Che Woo & family;19.àïð;Hong Kong;casinos/hotels;93;92.0;Hong Kong, Hong Kong;Hong Kong;Married;5.0;;True;
Emmanuel Besnier;19.ÿíâ;France;cheese;94;50.0;Laval, France;France;;;;False;
Laurene Powell Jobs & family;19.0;United States;Apple, Disney;95;57.0;Palo Alto, California;United States;Widowed;3.0;Master of Business Administration, Stanford Graduate School of Business;;
Eric Schmidt;18.ñåí;United States;Google;96;66.0;Atherton, California;United States;Married;2.0;Bachelor of Arts/Science, Princeton University;;
Sun Piaoyang;18.ñåí;China;pharmaceuticals;96;62.0;Lianyungang, China;China;Married;1.0;Bachelor of Arts/Science, China Pharmaceutical University;;
Theo Albrecht; Jr. & family;18.àâã;Germany;Aldi, Trader Joe's;98;70.0;Mulheim an der Ruhr, Germany;Germany;;1.0;;POINT (6.8829192 51.4272925)
Alisher Usmanov;18.àïð;Russia;steel, telecom, investments;99;67.0;Moscow, Russia;Russia;Married;;Master, Finance Academy under the Government of the Russian Federation;;
Robert Pera;18.ìàð;United States;wireless networking gear;100;43.0;San Jose, California;United States;Single;;Bachelor of Arts/Science, University of California, San Diego;;
Wu Yajun;18.ìàð;China;real estate;100;57.0;Beijing, China;China;Divorced;1.0;Northwestern Polytechnical University;True;
Fan Hongwei & family;18.ôåâ;China;petrochemicals;102;54.0;Wujiang, China;China;Married;;;True;
Dhanin Chearavanont;18.ÿíâ;Thailand;diversified;103;82.0;Bangkok, Thailand;Thailand;Married;5.0;;False;
Peter Woo;18.0;Hong Kong;real estate;104;74.0;Hong Kong, Hong Kong;Hong Kong;Married;3.0;Master of Business Administration, Columbia Business School;False;
Chen Bang;17.ñåí;China;hospitals;105;55.0;Changsha, China;China;Married;;Master of Business Administration, Hunan University;True;
Andrey Melnichenko;17.ñåí;Russia;coal, fertilizers;105;49.0;Moscow, Russia;Russia;Married;2.0;Master of Science, Plekhanov Russian University of Economics;True;
Dustin Moskovitz;17.àâã;United States;Facebook;107;36.0;San Francisco, California;United States;Married;;Drop Out, Harvard University;True;
Su Hua;17.àâã;China;video streaming;107;39.0;Beijing, China;China;;;Bachelor of Science, Tsinghua University;True;
Donald Newhouse;17.èþí;United States;media;109;91.0;New York, New York;United States;Widowed;3.0;Drop Out, Syracuse University;False;
Petr Kellner;17.ìàé;Czechia;finance, telecommunications;110;;;Czechia;;4.0;Bachelor of Arts/Science, University of Economics in Prague;True;
Lee Man Tat;17.àïð;Hong Kong;food;111;91.0;Hong Kong, Hong Kong;Hong Kong;Married;5.0;;False;
Pavel Durov;17.ôåâ;Russia;messaging app;112;36.0;Dubai, United Arab Emirates;Russia;Single;2.0;Master of Science, Saint Petersburg State University;True;
James Ratcliffe;17.0;United Kingdom;chemicals;113;68.0;London, United Kingdom;United Kingdom;Married;;;True;
Jorge Paulo Lemann & family;16.ñåí;Brazil;beer;114;81.0;Zurich, Switzerland;Brazil;Married;5.0;Bachelor of Arts/Science, Harvard University;True;
Reinhold Wuerth & family;16.àâã;Germany;fasteners;115;86.0;Kuenzelsau, Germany;Germany;Married;3.0;;True;
Charlene de Carvalho-Heineken & family;16.èþë;Netherlands;Heineken;116;66.0;London, United Kingdom;Netherlands;Married;5.0;Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar;;
Radhakishan Damani;16.ìàé;India;retail, investments;117;66.0;Mumbai, India;India;Married;3.0;;True;
Wang Chuanfu;16.ìàð;China;batteries, automobiles;118;55.0;Shenzhen, China;China;Married;;Master of Science, Beijing Non-Ferrous Research Institute;;
Steve Cohen;16.0;United States;hedge funds;119;64.0;Greenwich, Connecticut;United States;Married;7.0;Bachelor of Arts/Science, University of Pennsylvania, The Wharton School;True;
Ken Griffin;16.0;United States;hedge funds;119;52.0;Chicago, Illinois;United States;Divorced;3.0;Bachelor of Arts/Science, Harvard University;True;
Chen Zhiping;15.ñåí;China;e-cigarettes;121;45.0;Shenzhen, China;China;Married;;Master, China Europe International Business School;;
Ernest Garcia; II.;15.ñåí;United States;used cars;121;63.0;Tempe, Arizona;United States;Married;;Bachelor of Science, Stanford University;POINT (-111.9400091 33.4255056)
Uday Kotak;15.ñåí;India;banking;121;62.0;Mumbai, India;India;Married;2.0;Bachelor of Arts/Science, Bombay University;;
Carl Icahn;15.àâã;United States;investments;124;85.0;Indian Creek, Florida;United States;Married;2.0;Drop Out, New York University;;
Suleiman Kerimov & family;15.àâã;Russia;investments;124;55.0;Moscow, Russia;Russia;Married;3.0;Bachelor of Arts/Science, Dagestan State University;True;
Thomas Frist Jr. & family;15.èþë;United States;hospitals;126;82.0;Nashville, Tennessee;United States;Married;3.0;Bachelor of Arts/Science, Vanderbilt University;
Lukas Walton;15.èþí;United States;Walmart;127;34.0;Jackson, Wyoming;United States;Single;;Bachelor of Arts/Science, Colorado College;False;
Mikhail Fridman;15.ìàé;Russia;oil, banking, telecom;128;57.0;London, United Kingdom;Russia;Divorced;5.0;Bachelor of Arts/Science, Moscow Institute of Steel and Alloys;True;
Wei Jianjun & family;15.ìàé;China;automobiles;128;57.0;Baoding, China;China;Married;;Bachelor of Arts/Science, Hebei Province;True;
Zuo Hui;15.ìàé;China;real estate services;128;50.0;Beijing, China;China;;;;True;
Zhou Qunfei & family;15.àïð;Hong Kong;smartphone screens;131;;Hong Kong, Hong Kong;Hong Kong;Married;;;True;
Donald Bren;15.ìàð;United States;real estate;132;88.0;Newport Beach, California;United States;Married;7.0;Bachelor of Arts/Science, University of Washington;True;
Hinduja brothers;14.ñåí;United Kingdom;diversified;133;;London, United Kingdom;United Kingdom;;;;False;
Lakshmi Mittal;14.ñåí;India;steel;133;70.0;London, United Kingdom;India;Married;2.0;Bachelor of Arts/Science, St Xavier's College Calcutta;False;
Georg Schaeffler;14.ñåí;Germany;auto parts;133;56.0;Herzogenaurach, Germany;Germany;Divorced;4.0;;False;
Eric Yuan & family;14.ñåí;United States;video conferencing;133;51.0;Santa Clara, California;United States;Married;3.0;Master of Engineering Management, China University of Mining and Technology;;
Wang Jianlin;14.àâã;China;real estate;137;66.0;Beijing, China;China;Married;1.0;Liaoning University;True;
Kwong Siu-hing;14.èþë;Hong Kong;real estate;138;91.0;Hong Kong, Hong Kong;Hong Kong;Widowed;4.0;;False;
Robin Li;14.èþë;China;internet search;138;52.0;Beijing, China;China;Married;4.0;Bachelor of Arts/Science, Peking University;;
Pallonji Mistry;14.èþí;Ireland;construction;140;91.0;Mumbai, India;Ireland;Married;4.0;;False;
Eduardo Saverin;14.èþí;Brazil;Facebook;140;39.0;Singapore, Singapore;Brazil;Married;1.0;Bachelor of Arts/Science, Harvard University;True;
Roman Abramovich;14.ìàé;Russia;steel, investments;142;54.0;Moscow, Russia;Russia;Married;7.0;Bachelor of Arts/Science, Moscow State Law Academy;True;
David Tepper;14.ìàé;United States;hedge funds;142;63.0;New Jersey;United States;Married;3.0;Master of Business Administration, David A. Tepper School of Business;;
Gong Hongjia & family;14.àïð;Hong Kong;video surveillance;144;56.0;Hong Kong, Hong Kong;Hong Kong;Married;2.0;Bachelor of Arts/Science, Huazhong University of Science and Technology;True;
Mike Cannon-Brookes;14.ôåâ;Australia;software;145;41.0;Sydney, Australia;Australia;Married;2.0;Bachelor of Arts/Science, University of New South Wales;True;
John Menard; Jr.;14.ôåâ;United States;home improvement stores;145;81.0;Eau Claire, Wisconsin;United States;Married;6.0;Bachelor of Arts/Science, University of Wisconsin, Eau Claire;POINT (-91.4984941 44.811349)
Seo Jung-jin;14.ôåâ;South Korea;biotech;145;63.0;Seoul, South Korea;South Korea;Married;2.0;Bachelor of Arts/Science, Konkuk University;;
Cheng Yixiao;14.ÿíâ;China;video streaming app;148;37.0;Beijing, China;China;;;;True;
Liang Wengen;14.ÿíâ;China;construction equipment;148;64.0;Changsha, China;China;Married;1.0;Bachelor of Arts/Science, Central South University;True;
Scott Farquhar;14.0;Australia;software;150;41.0;Sydney, Australia;Australia;Married;2.0;Bachelor of Arts/Science, University of New South Wales;True;
Finn Rausing;13.ñåí;Sweden;packaging;151;66.0;London, United Kingdom;Sweden;;;;False;
Jorn Rausing;13.ñåí;Sweden;packaging;151;61.0;Surrey, United Kingdom;Sweden;;;;False;
Kirsten Rausing;13.ñåí;Sweden;packaging;151;68.0;Newmarket, United Kingdom;Sweden;;;;False;
Brian Chesky;13.èþë;United States;Airbnb;154;39.0;San Francisco, California;United States;Single;;Bachelor of Arts/Science, Rhode Island School of Design;True;
Joseph Lau;13.èþí;Hong Kong;real estate;155;69.0;Hong Kong, Hong Kong;Hong Kong;Divorced;6.0;;True;
David Duffield;13.ìàé;United States;business software;156;80.0;Incline Village, Nevada;United States;Married;10.0;Bachelor of Engineering, Cornell University;;
Charoen Sirivadhanabhakdi;13.ìàé;Thailand;alcohol, real estate;156;77.0;Bangkok, Thailand;Thailand;Married;5.0;;True;
Kim Jung-ju;13.ìàð;South Korea;online games;158;53.0;Seoul, South Korea;South Korea;Married;2.0;Doctorate, Korea Advanced Institute of Science and Technology;;
Robert & Philip Ng;13.ìàð;Singapore;real estate;158;;Singapore, Singapore;Singapore;;;;False;
Zhang Bangxin;13.ìàð;China;education;158;41.0;Beijing, China;China;;;EMBA, China Europe International Business School;True;
Anders Holch Povlsen;13.ôåâ;Denmark;fashion retail;161;48.0;Aarhus, Denmark;Denmark;Married;4.0;;False;
Wang Wenyin;13.ôåâ;China;mining, copper products;161;53.0;Shenzhen, China;China;;;;True;
Wang Liping & family;13.ÿíâ;China;hydraulic machinery;163;55.0;Changzhou, China;China;Married;;;True;
Tatyana Bakalchuk;13.0;Russia;ecommerce;164;45.0;Moscow region, Russia;Russia;Married;4.0;Bachelor of Science, State University of Management;True;
Michael Platt;13.0;United Kingdom;hedge funds;164;53.0;Geneva, Switzerland;United Kingdom;;;Bachelor of Arts/Science, London School of Economics;;
Huang Shilin;12.ñåí;China;batteries;166;54.0;Ningde, China;China;;;Bachelor of Technology, Hefei University of Technology;True;
Ricardo Salinas Pliego & family;12.ñåí;Mexico;retail, media;166;65.0;Mexico City, Mexico;Mexico;Married;6.0;Master of Business Administration, A. B. Freeman School of Business;;
Kumar Birla;12.àâã;India;commodities;168;53.0;Mumbai, India;India;Married;3.0;Master of Business Administration, London Business School;;
Dang Yanbao;12.èþë;China;coal;169;48.0;Yinchuan, China;China;;;Master of Business Administration, Peking University;True;
Cyrus Poonawalla;12.èþë;India;vaccines;169;79.0;Pune, India;India;Widowed;1.0;Bachelor of Arts/Science, Pune University;;
Robert Kuok;12.èþí;Malaysia;palm oil, shipping, property;171;97.0;Hong Kong, Hong Kong;Malaysia;Married;8.0;Bachelor of Arts/Science, Raffles College;True;
Hank & Doug Meijer;12.èþí;United States;supermarkets;171;;Grand Rapids, Michigan;United States;;;;False;
Jack Dorsey;12.ìàé;United States;Twitter, Square;173;44.0;San Francisco, California;United States;Single;;Drop Out, New York University;True;
Lu Zhongfang;12.ìàé;China;education;173;78.0;Tonghua, China;China;;;;True;
Ma Jianrong & family;12.ìàé;China;textiles, apparel;173;57.0;Ningbo, China;China;Married;;;True;
Zhang Tao;12.ìàé;China;e-commerce;173;48.0;Beijing, China;China;;;;True;
Nathan Blecharczyk;12.àïð;United States;Airbnb;177;37.0;San Francisco, California;United States;Married;2.0;Bachelor of Arts/Science, Harvard University;True;
John Doerr;12.àïð;United States;venture capital;177;69.0;Woodside, California;United States;Married;2.0;Master of Business Administration, Harvard University;;
Joe Gebbia;12.àïð;United States;Airbnb;177;39.0;San Francisco, California;United States;In Relationship;;Bachelor of Arts/Science, Rhode Island School of Design;True;
Forrest Li;12.àïð;Singapore;gaming;177;43.0;Singapore, Singapore;Singapore;Married;;Bachelor of Engineering, Shanghai Jiaotong University;;
Yu Renrong;12.ìàð;China;semiconductors;181;55.0;Ningbo, China;China;;;Bachelor of Science in Engineering, Tsinghua University;True;
Liu Yonghao & family;12.ÿíâ;China;agribusiness;182;69.0;Chengdu, China;China;Married;2.0;;True;
Gordon Moore;12.ÿíâ;United States;Intel;182;92.0;Woodside, California;United States;Married;2.0;Doctorate, California Institute of Technology;;
Jeff Yass;12.0;United States;trading, investments;184;62.0;Haverford, Pennsylvania;United States;Married;4.0;Bachelor of Arts/Economics, SUNY Binghamton;True;
Bobby Murphy;11.ñåí;United States;Snapchat;185;32.0;Venice, California;United States;Single;;Bachelor of Arts/Science, Stanford University;True;
Patrick Drahi;11.àâã;France;telecom;186;57.0;Zermatt, Switzerland;France;Married;4.0;;True;
Jensen Huang;11.àâã;United States;semiconductors;186;;;;;;;;
Alexander Otto;11.àâã;Germany;real estate;186;53.0;Hamburg, Germany;Germany;Married;;Master of Business Administration, Harvard Business School;;
Cen Junda;11.èþí;China;pharmaceuticals;189;56.0;Lianyungang, China;China;;;Doctorate, Zhejiang University;True;
Joseph Tsai;11.èþí;Canada;e-commerce;189;57.0;Hong Kong, Hong Kong;Canada;Married;3.0;Bachelor of Arts/Science, Yale University;;
Aliko Dangote;11.ìàé;Nigeria;cement, sugar;191;64.0;Lagos, Nigeria;Nigeria;Divorced;3.0;Bachelor of Arts/Science, Al-Azhar University;True;
Marcel Herrmann Telles;11.ìàé;Brazil;beer;191;71.0;Sao Paulo, Brazil;Brazil;Married;2.0;Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro;True;
Mikhail Prokhorov;11.àïð;Russia;investments;193;56.0;Moscow, Russia;Russia;Single;;Bachelor of Arts/Science, Moscow Institute of Finance;True;
Jorge Moll Filho & family;11.ìàð;Brazil;hospitals;194;76.0;Rio de Janeiro, Brazil;Brazil;Married;5.0;Masters of Public Health, Universidade Federal do Rio de Janeiro;True;
Viktor Rashnikov;11.ôåâ;Russia;steel;195;72.0;Magnitogorsk, Russia;Russia;Married;2.0;Bachelor of Science in Engineering, Magnitogorsk MiningÂ and Metallurgical Institute;True;
Harry Triguboff;11.ôåâ;Australia;real estate;195;88.0;Sydney, Australia;Australia;Married;2.0;Bachelor of Arts/Science, University of Leeds;True;
Leonid Fedun & family;11.ÿíâ;Russia;oil;197;65.0;Moscow, Russia;Russia;Married;2.0;Master of Science, Military Academy F.E.Dzerzhinsky;True;
Eyal Ofer;11.ÿíâ;Israel;real estate, shipping;197;70.0;Monte Carlo, Monaco;Israel;Married;4.0;;False;
Evan Spiegel;11.ÿíâ;United States;Snapchat;197;30.0;Los Angeles, California;United States;Married;2.0;Bachelor of Science, Stanford University;True;
Luis Carlos Sarmiento;11.0;Colombia;banking;200;88.0;Bogota, Colombia;Colombia;Married;5.0;Bachelor of Arts/Science, National University of Colombia;True;
Andreas Struengmann & family;11.0;Germany;pharmaceuticals;200;71.0;Tegernsee, Germany;Germany;Married;2.0;Medical Doctor, University at Buffalo;True;
Thomas Struengmann & family;11.0;Germany;pharmaceuticals;200;71.0;Tegernsee, Germany;Germany;Married;4.0;Master of Business Administration, University of Augsburg;;
Rodolphe SaadÃ© & family;10.ñåí;France;shipping;203;51.0;Marseille, France;France;;;Bachelor of Arts/Science, Concordia University;False;
Dilip Shanghvi;10.ñåí;India;pharmaceuticals;203;65.0;Mumbai, India;India;Married;2.0;Bachelor of Arts/Science, Calcutta University;True;
Tom & Judy Love;10.àâã;United States;retail & gas stations;205;;Oklahoma City, Oklahoma;United States;Married;4.0;;True;
Anthony Pratt;10.àâã;Australia;manufacturing;205;61.0;Melbourne, Australia;Australia;;2.0;Bachelor of Arts/Economics, Monash University;False;
Wang Laisheng;10.àâã;China;electronics components;205;56.0;Shenzhen, China;China;;;;True;
Gianluigi & Rafaela Aponte;10.èþë;Switzerland;Shipping;208;80.0;Geneva, Switzerland;Switzerland;;2.0;;True;
